url,type,name,address,rating,number_reviews,last_reviewed,lat,lng
us/staybridge-suites-houston-nasa-clear-lake,Hotel,Staybridge Suites Houston-NASA Clear Lake,"501 Texas Avenue, Webster, TX 77598, USA",9.1,95,11 July 2019,29.54752955,-95.1344052
us/downtown-skyline-2-bedroom-suite,Apartments,DOWNTOWN SKYLINE 2 BEDROOM SUITE,"2225 North Harwood Street, Uptown Dallas, Dallas, TX 75201, USA",9.5,17,17 July 2019,32.7906448,-96.8045795
us/hilton-houston-post-oak,Hotel,Hilton Houston Post Oak by the Galleria,"2001 Post Oak Boulevard, Houston, TX 77056, USA",8.4,357,30 July 2019,29.74586872,-95.45985371
us/doubletree-el-paso-downtown-city-center,Hotel,DoubleTree by Hilton El Paso Downtown/City Center,"600 North El Paso Street, El Paso, TX 79901, USA",8.3,217,28 July 2019,31.76081678,-106.49134487
us/towneplace-suites-by-marriott-las-colinas,Hotel,TownePlace Suites Dallas Las Colinas,"900 West Walnut Hill Lane, Irving, TX 75038, USA",9.4,46,25 April 2019,32.88421943,-96.96111828
us/4211-point-west-drive-condo-unit-303-condo,Apartment,4211 Point West Drive Condo Unit 303,"Galveston, 77554, USA",-1.0,-1,,29.09937,-95.10148
us/omi-san-antonio-at-the-colonnade,Hotel,Omni San Antonio Hotel At The Colonnade,"9821 Colonnade Boulevard, San Antonio, TX 78230, USA",8.8,356,27 July 2019,29.53513155,-98.56410563
us/comanche-trail-guest-house,Holiday home,Comanche Trail Guest House,"7094 Comanche Trail, B, Volente, 78701, USA",-1.0,-1,,30.4141841,-97.8935203
us/knights-inn-nw-fiesta,Motel,Motel 6 San Antonio - Fiesta Trails,"9447 Interstate Highway 10 West, San Antonio, TX 78230, USA",7.0,239,28 July 2019,29.52746983,-98.55736524
us/america-austin-downtown-sixth-street,Hotel,Extended Stay America - Austin - Downtown - 6th St.,"600 Guadalupe Street, Austin, TX 78701, USA",7.0,535,25 July 2019,30.26967977,-97.74635643
us/super-8-harlingen,Hotel,Super 8 by Wyndham Harlingen TX,"1115 South Expressway 77/83, Harlingen, TX 78550, USA",8.2,152,23 July 2019,26.18166292,-97.71316141
us/scottish-inn-amp-suites-baytown1,Hotel,scottish inn & suites,"8151 Bayway Drive, Baytown, TX 77520, USA",-1.0,-1,19 July 2019,29.782529,-95.032107
us/scottish-inns-killeen,Hotel,Scottish Inns Killeen,"2600 Gateway Drive, Killeen, TX 76542, USA",7.5,102,27 July 2019,31.09384855,-97.73591995
us/round-rock-1851-north-interstate-highway-35-texas,Hotel,Best Western Round Rock,"1851 North Interstate 35, Round Rock, TX 78664, USA",8.1,121,30 July 2019,30.52621543,-97.68953919
us/condo-di-cocco-limendacocco,Holiday home,Condo di Cocco - Limendacocco,"Galveston, 77551, USA",9.1,13,24 June 2019,29.294878,-94.782434
us/bluebonnet-hill,Holiday home,Bluebonnet Hill,"Wimberley, 78676, USA",-1.0,-1,,29.954326,-98.088575
us/suites-longview,Hotel,Staybridge Suites Longview,"3409 Fourth Street, Longview, TX 75605, USA",9.4,27,14 July 2019,32.54643333,-94.73191023
us/inn-el-paso-lomaland,Hotel,La Quinta Inn by Wyndham El Paso East Lomaland,"11033 Gateway Boulevard West, El Paso, TX 79935, USA",7.8,558,29 July 2019,31.74574838,-106.33336276
us/hampton-inn-pasadena,Hotel,Hampton Inn and Suites Houston Pasadena,"4741 East Sam Houston Parkway South, Pasadena, TX 77505, USA",8.8,51,7 July 2019,29.63825024,-95.16029119
us/hotel-n-dallas-plano,Hotel,Extended Stay America - Dallas - Plano,"2900 North Dallas Parkway, Plano, TX 75093, USA",6.7,55,6 July 2019,33.04073493,-96.82838112
us/hampton-inn-and-suites-waxahachie,Hotel,Hampton Inn and Suites Waxahachie,"2010 Civic Center Lane, Waxahachie, TX 75165, USA",8.5,86,27 July 2019,32.42358822,-96.8612878
us/seascape-1211-condo,Apartment,Seascape 1211 Condo,"Galveston, 77554, USA",-1.0,-1,,29.24222,-94.871558
us/texas-ranch-style,Homestay,Texas Ranch Style,"2514 Broad Timbers Drive, Spring, TX 77373, USA",-1.0,-1,,30.0677791,-95.3891202
us/3510-dryer-park-drive,Villa,3510 Dryer Park Drive,"3510 Dryer Park Drive, Spring, TX 77373, USA",-1.0,-1,,30.069467,-95.3659156
us/tx-comfort-collection-1204,Apartment,TX Comfort Collection 1204,"University Drive East 1000, College Station, 77840, USA",-1.0,-1,,30.6343789,-96.3215769
us/choice-inn,Motel,Choice Inn San Antonio,"2212 East Commerce Street, San Antonio, TX 78203, USA",6.9,100,12 July 2019,29.41937162,-98.46063271
us/best-western-inn-and-suites,Hotel,Best Western Inn and Suites Copperas Cove,"321 Constitution Drive, Copperas Cove, TX 76522, USA",8.7,101,26 July 2019,31.11878521,-97.86873221
us/hotel-beltline-road-addison,Hotel,Quality Suites Addison-Dallas,"4555 Beltline Road, Addison, TX 75001, USA",7.3,243,26 July 2019,32.95592938,-96.83453411
us/la-quinta-inn-el-paso-airport,Hotel,La Quinta Inn by Wyndham El Paso - Airport,"6140 Gateway East, El Paso, TX 79905, USA",7.7,306,28 July 2019,31.78079526,-106.40833989
us/comfy-convenient-near-medical-sa-college,Apartment,Comfy & Convenient near Medical & SA College,"San Antonio, 78212, USA",-1.0,-1,,29.4383,-98.4959
us/18811-w-de-vaca-home-home,Holiday home,18811 W De Vaca Home,"Galveston, 77554, USA",-1.0,-1,,29.165186,-95.000391
us/hotel-wilcrest-dr-houston,Hotel,Comfort Suites Westchase,"2830 Wilcrest Drive, Westchase, Houston, TX 77042, USA",8.5,79,29 July 2019,29.73386893,-95.57198077
us/the-beach-the-bay-the-breeze-galveston,Holiday home,"The Beach, The Bay, The Breeze","Galveston, 77554, USA",-1.0,-1,,29.1266,-95.0656
us/7000-seawall-blvd-condo-unit-336-condo,Apartment,7000 Seawall Blvd Condo Unit 336,"Galveston, 77551, USA",-1.0,-1,,29.262204,-94.835448
us/guest-house-inn-and-extended-stay,Motel,Guest House Inn,"3815 21st Street, Lubbock, TX 79410, USA",7.7,129,20 July 2019,33.57583059,-101.89816504
us/arts-central-2br-balcony-by-dining-shopping,Apartment,Arts Central 2br & Balcony - By Dining & Shopping,"Market Center, Dallas, 75207, USA",-1.0,-1,,32.7977,-96.8206
us/cozy-comforts-at-fairdale,Hotel,Cozy Comforts at Fairdale,"Houston, 77057, USA",-1.0,-1,,29.733234,-95.493573
us/lake-austin-double-decker-boat-house,Holiday home,Lake Austin Double Decker Boat House,"Marshall Ford, TX 78734, USA",-1.0,-1,,30.37098,-97.915283
us/island-sunrise-galveston,Holiday home,Island Sunrise,"Galveston, 77551, USA",-1.0,-1,,29.274973,-94.819431
us/by-the-sea-b805-condo,Apartment,By The Sea B805 Condo,"Galveston, 77554, USA",-1.0,-1,,29.260606,-94.837943
us/acl-perfect-for-couples-10-mins-from-acl-austin,Apartment,Perfect for Couples - 5 Min from SoCo & DWTN!! (Home),"1905 Fairlawn Lane, Austin, 78704, USA",-1.0,-1,,30.239712,-97.740112
